STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"RITE AID 5685",-116.08686,34.135509,"72253 29 Palms Hwy","","Twentynine Palms","CA","92277","2467","SAN BERNARDINO" 
"Super Bargain Market",-118.27385,33.93726,"10900 S Main St","","Los Angeles","CA","90061","2028","LOS ANGELES" 
"RITE AID 5686",-116.40695,34.125694,"57646 29 Palms Hwy","","Yucca Valley","CA","92284","3073","SAN BERNARDINO" 
"RITE AID 5709",-117.05342,34.033897,"34420 Yucaipa Blvd","","Yucaipa","CA","92399","2412","SAN BERNARDINO" 
"RITE AID 5722",-116.92772,33.747711,"42021 East Florida Ave","","Hemet","CA","92544","5016","RIVERSIDE" 
"RITE AID 5724",-117.00653,33.750389,"260 N Sanderson Ave","","Hemet","CA","92545","3614","RIVERSIDE" 
"RITE AID 6246",-116.30372,33.745159,"41800 Washington St","Ste 113B","Bermuda Dunes","CA","92203","8153","RIVERSIDE" 
"RITE AID 6293",-116.95872,33.770943,"1605 S San Jacinto Ave","","San Jacinto","CA","92583","5181","RIVERSIDE" 
"EARLS BOTTLE SHOP",-121.8325,37.358555,"299 S Capitol Ave","","San Jose","CA","95127","2844","SANTA CLARA" 
"RITE AID 5578",-117.71253,33.982738,"4200 Chino Hills Pkwy","Ste 500","Chino Hills","CA","91709","3779","SAN BERNARDINO" 
"RITE AID 5711",-117.30377,34.163364,"949 Kendall Dr","","San Bernardino","CA","92407","5801","SAN BERNARDINO" 
"RITE AID 5469",-117.10321,33.47974,"31797 HWY 79 S","","TEMECULA","CA","92592","","RIVERSIDE" 
"RITE AID 5579",-117.68937,34.034161,"12059 Central Ave","","Chino","CA","91710","1908","SAN BERNARDINO" 
"RITE AID 5591",-117.88941,33.987602,"18993 Colima Rd","","Rowland Heights","CA","91748","2942","LOS ANGELES" 
"RITE AID 5592",-117.96806,33.995903,"2060 S Hacienda Blvd","","Hacienda Heights","CA","91745","4240","LOS ANGELES" 
"NEW INDIA BAZAR",-122.41999,37.78693,"1107 Polk St","","San Francisco","CA","94109","5512","SAN FRANCISCO" 
"RITE AID 5603",-117.83725,33.974751,"2797 S Diamond Bar Blvd","","Diamond Bar","CA","91765","3513","LOS ANGELES" 
"RITE AID 5701",-117.16914,34.047482,"700 E Redlands Blvd","Ste A","Redlands","CA","92373","6168","SAN BERNARDINO" 
"RITE AID 5704",-117.19386,33.714417,"27350 Sun City Blvd","","Menifee","CA","92586","2596","RIVERSIDE" 
"RITE AID 5712",-117.45406,33.94487,"6150 Van Buren Blvd","","Riverside","CA","92503","8014","RIVERSIDE" 
"RITE AID 5715",-117.3925,33.959904,"6075 Magnolia Ave","","Riverside","CA","92506","2525","RIVERSIDE" 
"RITE AID 5716",-117.34854,33.974091,"3849 Chicago Ave","","Riverside","CA","92507","5336","RIVERSIDE" 
"RITE AID 5717",-117.32952,33.956573,"5225 Canyon Crest Dr","Ste 8","Riverside","CA","92507","6320","RIVERSIDE" 
"RITE AID 5718",-117.45894,33.978355,"8015 Limonite Ave","","Riverside","CA","92509","6108","RIVERSIDE" 
"RITE AID 5725",-117.24452,33.946602,"23965 Ironwood Ave","","Moreno Valley","CA","92557","7153","RIVERSIDE" 
"RITE AID 5727",-117.20351,33.572285,"40640 California Oaks Rd","","Murrieta","CA","92562","5857","RIVERSIDE" 
"RITE AID 5728",-117.17812,33.556473,"40481 Murrieta Hot Springs Rd","","Murrieta","CA","92563","6401","RIVERSIDE" 
"RITE AID 5729",-117.22624,33.80217,"1688 N Perris Blvd","","Perris","CA","92571","4709","RIVERSIDE" 
"Bombay Video, Inc.",-121.63725,39.132332,"1410 Bridge St","Ste D","Yuba City","CA","95993","3500","SUTTER" 
"RITE AID 5730",-117.20805,33.684948,"25906 Newport Rd","","Menifee","CA","92584","9130","RIVERSIDE" 
"RITE AID 6231",-117.22692,33.917191,"24991 Alessandro Blvd","","Moreno Valley","CA","92553","5708","RIVERSIDE" 
"RITE AID 6256",-117.24301,34.0485,"25710 Barton Rd","","Loma Linda","CA","92354","3874","SAN BERNARDINO" 
"Lanes Market",-121.91686,41.96693,"109 S Pine St","","Dorris","CA","96023","","SISKIYOU" 
"FASTRIP FOOD STORE 702",-119.20736,36.297745,"101 W Visalia Rd","","Farmersville","CA","93223","1821","TULARE" 
"Service Liquor Store",-118.29796,34.069088,"3803 W 3rd St","","Los Angeles","CA","90020","2607","LOS ANGELES" 
"Mentone Plaza Liquor, Inc",-117.12803,34.069935,"1940 Mentone Blvd","","Mentone","CA","92359","1269","SAN BERNARDINO" 
"RS Liquor",-119.57214,36.099579,"1004 Dairy Ave","","Corcoran","CA","93212","2116","KINGS" 
"Easy Way Market",-118.94122,35.368671,"3435 Pioneer Dr","","Bakersfield","CA","93306","6335","KERN" 
"HOLLY OAK GAS & GROCERY",-121.61657,39.119453,"555 Garden Hwy","","Yuba City","CA","95991","6300","SUTTER" 
"RANCHO MARKET",-122.30281,40.535088,"8510 Airport Rd","","Redding","CA","96002","9210","SHASTA" 
"Lake Liquor & Sporting Goods",-122.40502,40.625713,"1345 Lake Blvd","","Redding","CA","96003","1263","SHASTA" 
"Pomona Ranch Market",-117.75571,34.054943,"604 W Mission Blvd","","Pomona","CA","91766","1535","LOS ANGELES" 
"Short Stop 28",-118.44876,34.180813,"6073 Van Nuys Blvd","","Van Nuys","CA","91401","3320","LOS ANGELES" 
"Red Barn Liquor Market",-120.44925,34.638882,"728 E Ocean Ave","","Lompoc","CA","93436","7015","SANTA BARBARA" 
"7-Eleven 17265 F",-117.087,32.671841,"1601 E 18th St","","National City","CA","91950","5008","SAN DIEGO" 
"Ramona Liquor and Deli Market",-117.97275,34.083351,"13750 Ramona Blvd","","Baldwin Park","CA","91706","4021","LOS ANGELES" 
"RITE AID 5794",-119.23183,35.775917,"1809 Cecil Ave","","Delano","CA","93215","1519","KERN" 
"RITE AID 5797",-118.43459,35.623245,"PO Box 3740","","Lake Isabella","CA","93240","3740","KERN" 
